地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年,1989年,1988年,1987年,1986年,1985年,1984年,1983年,1982年,1981年,1980年,1979年
北京市,14357,13931,13479,12918,12709,11680,10398,9800,8915,8161,7646,6915,6269,5779,5437,4360,5044,4764,4601,4210,3869,3813,3824,4023,4394,4379,4200,4040,3770,4214,4782,4418,4106,4078,3877,3546,3205,2982,2762,2504
天津市,5075,4792,4543,4054,3687,3352,2970,2829,2594,2232,1944,1573,1632,1550,1499,1291,1510,1554,1709,1604,1561,1515,1651,1801,1863,1801,1738,1710,1722,2047,1976,1961,2097,2192,2155,1860,1733,1622,1567,1433
河北省,12211,11527,10771,9706,9571,8762,7846,7601,7558,7194,6816,6238,6024,5492,5270,4442,5101,5224,5268,5028,4745,4688,4640,4774,5219,5255,4972,4964,5186,6114,6559,5921,5569,5588,5627,5116,4732,4368,4169,4023
山西省,7958,7664,7530,7418,6949,6294,6208,6219,5754,5320,4740,4183,3760,3411,3411,2861,3138,3068,2953,2871,2771,2918,3084,3308,3498,3269,3024,3069,3226,3552,3489,3155,3210,3391,3495,3052,2753,2587,2523,2267
内蒙古自治区,5446,5446,5388,5108,4789,4635,4320,4207,4213,4079,3861,3639,3490,3172,3142,2768,3069,3204,3269,2959,2795,2788,2721,2912,3047,3021,2806,2570,2435,3003,3248,2965,2836,2786,2741,2557,2285,2071,1994,1689
辽宁省,14422,14266,14040,12919,12841,13033,12045,12044,13336,13377,12004,10446,9911,9533,9626,8731,9711,10502,10693,10348,10411,10892,12387,13981,15366,15073,15083,14733,15827,18082,19572,17941,17569,18728,19890,19936,19311,18129,17982,17759
吉林省,8446,7663,7567,7158,6935,6629,6263,6141,5770,5687,5320,4855,4590,4618,4687,4306,4962,5346,5785,5897,5849,6200,6781,7894,8305,7973,7630,7408,7810,9421,10139,9399,9145,9432,10203,9659,9306,8959,8380,8080
黑龙江省,10522,10412,10480,9865,10096,10107,10524,10745,10602,10133,10012,9631,8924,8359,8860,8319,9312,9658,9897,9821,10136,10174,10138,11974,12327,11752,10787,10141,9941,12104,12804,11803,11515,11735,12232,11281,10566,9806,8963,8392
上海市,12267,11617,10609,9692,9194,7972,6758,6198,6095,5161,5343,4795,4458,4313,4076,3391,3518,3231,2980,2906,2761,2779,2805,2929,2984,2860,2748,2594,2476,2711,2838,2610,2477,2320,2228,1995,1853,1805,1692,1470
江苏省,21204,19786,17814,16116,15374,13435,11758,10603,9711,9167,8846,8037,7545,6797,6085,5104,5292,5099,4953,4879,4460,4433,4649,5185,5471,5533,5305,4932,4788,5422,5983,5372,4927,4819,4572,3954,3685,3522,3364,3021
浙江省,21870,20114,18035,15224,13648,11052,9144,8888,8083,7024,7000,7361,6857,6383,6255,5197,5361,4974,4523,4113,3248,3065,3238,3566,3562,3249,3051,3040,3018,3453,3595,3258,3126,3225,3252,2919,2735,2677,2421,2068
安徽省,12337,11487,10370,8553,7972,7210,6385,5980,5552,5131,4662,4242,4000,3486,3406,2987,3178,3177,3158,3020,2617,2454,2361,2571,2712,2594,2438,2304,2342,2899,3157,2967,2880,2818,2906,2833,2756,2687,2572,2262
福建省,12096,11624,10496,9256,8345,6501,5295,4695,3640,2083,2066,2261,2022,1684,1754,1576,1620,1509,1560,1575,1399,1437,1509,1662,1686,1556,1332,1235,1234,1485,1550,1423,1363,1349,1282,1160,1042,997,986,840
江西省,11131,10224,9249,8458,7840,6945,6335,6152,5588,5470,5214,4606,4172,3906,3778,3325,3447,3217,3133,2937,2713,2497,2315,2295,2383,2160,1949,1836,1827,2306,2467,2241,2262,2526,2662,2485,2359,2284,2181,1888
山东省,15356,14151,12639,11397,10304,9246,8347,7327,6679,6136,5669,5146,4756,3973,3876,3343,3624,3752,3877,3670,3432,3083,2972,3414,3587,3346,3244,3286,3312,3967,4447,4212,4006,4073,4071,3792,3695,3600,3586,3431
河南省,16383,15252,13825,12200,11647,10532,9213,8804,8338,7718,7476,6622,6465,5879,5695,4864,5206,5092,4838,4462,4214,4101,4107,4331,4602,4639,4311,4265,4476,5538,6141,5599,5731,5787,5534,5060,4680,4752,4860,4513
湖北省,16713,15747,14197,13508,12379,10410,8266,7083,6013,5260,4918,4133,3889,3713,3456,3017,3146,3013,2886,2569,2391,2295,2248,2300,2364,2271,2084,2016,2115,2806,3214,2910,2905,3353,3605,3799,3504,3333,3217,2948
