name,type,value,date
北京市,,2504,1979
北京市,,2762,1980
北京市,,2982,1981
北京市,,3205,1982
北京市,,3546,1983
北京市,,3877,1984
北京市,,4078,1985
北京市,,4106,1986
北京市,,4418,1987
北京市,,4782,1988
北京市,,4214,1989
北京市,,3770,1990
北京市,,4040,1991
北京市,,4200,1992
北京市,,4379,1993
北京市,,4394,1994
北京市,,4023,1995
北京市,,3824,1996
北京市,,3813,1997
北京市,,3869,1998
北京市,,4210,1999
北京市,,4601,2000
北京市,,4764,2001
北京市,,5044,2002
北京市,,4360,2003
北京市,,5437,2004
北京市,,5779,2005
北京市,,6269,2006
北京市,,6915,2007
北京市,,7646,2008
北京市,,8161,2009
北京市,,8915,2010
北京市,,9800,2011
北京市,,10398,2012
北京市,,11680,2013
北京市,,12709,2014
北京市,,12918,2015
北京市,,13479,2016
北京市,,13931,2017
北京市,,14357,2018
天津市,,1433,1979
天津市,,1567,1980
天津市,,1622,1981
天津市,,1733,1982
天津市,,1860,1983
天津市,,2155,1984
天津市,,2192,1985
天津市,,2097,1986
天津市,,1961,1987
天津市,,1976,1988
天津市,,2047,1989
天津市,,1722,1990
天津市,,1710,1991
天津市,,1738,1992
天津市,,1801,1993
天津市,,1863,1994
天津市,,1801,1995
天津市,,1651,1996
天津市,,1515,1997
天津市,,1561,1998
天津市,,1604,1999
天津市,,1709,2000
天津市,,1554,2001
天津市,,1510,2002
天津市,,1291,2003
天津市,,1499,2004
天津市,,1550,2005
天津市,,1632,2006
天津市,,1573,2007
天津市,,1944,2008
天津市,,2232,2009
天津市,,2594,2010
天津市,,2829,2011
天津市,,2970,2012
天津市,,3352,2013
天津市,,3687,2014
天津市,,4054,2015
天津市,,4543,2016
天津市,,4792,2017
天津市,,5075,2018
河北省,,4023,1979
河北省,,4169,1980
河北省,,4368,1981
河北省,,4732,1982
河北省,,5116,1983
河北省,,5627,1984
河北省,,5588,1985
河北省,,5569,1986
河北省,,5921,1987
河北省,,6559,1988
河北省,,6114,1989
河北省,,5186,1990
河北省,,4964,1991
河北省,,4972,1992
河北省,,5255,1993
河北省,,5219,1994
河北省,,4774,1995
河北省,,4640,1996
河北省,,4688,1997
河北省,,4745,1998
河北省,,5028,1999
河北省,,5268,2000
河北省,,5224,2001
河北省,,5101,2002
河北省,,4442,2003
河北省,,5270,2004
河北省,,5492,2005
河北省,,6024,2006
河北省,,6238,2007
河北省,,6816,2008
河北省,,7194,2009
河北省,,7558,2010
河北省,,7601,2011
河北省,,7846,2012
河北省,,8762,2013
河北省,,9571,2014
河北省,,9706,2015
河北省,,10771,2016
河北省,,11527,2017
河北省,,12211,2018
山西省,,2267,1979
山西省,,2523,1980
山西省,,2587,1981
山西省,,2753,1982
